"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",37.2272701164472,1.59878753799939,23.2846886979309,2.56545851198376e-20
"wt",-3.87783074240468,0.632733494377395,-6.12869521981041,1.11964713620004e-06
"hp",-0.031772946982161,0.00902970967585572,-3.51871191020878,0.00145122853156942
